Gender,eye_Color,lips_Color,hair_Color,skin_Color,lips_Nature,skin_pimple,class
Male,DarkBrown,Dark,LightBrown,Whitish,Non_Cracked,Pimples,Vata
Male,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,Black,Whitish,Cracked,Pimples,Vata
Male,DarkBrown,Pink,DarkBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Vata
Male,Black,Pink,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,Black,Whitish,Non_Cracked,Non_Pimples,Pitta
Male,Black,Pink,Black,Dark,Non_Cracked,Pimples,Kapha
Male,LightBrown,Pink,LightBrown,FairReddish,Non_Cracked,Non_Pimples,Pitta
Male,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Dark,Black,Dark,Non_Cracked,Pimples,Kapha
Male,LightBrown,Pink,LightBrown,FairPaleYellow,Non_Cracked,Pimples,Pitta
Male,DarkBrown,Reddish,Black,Whitish,Non_Cracked,Non_Pimples,Pitta
Male,DarkBrown,Dark,Dusky,Dark,Non_Cracked,Pimples,Pitta
Male,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,Black,Dark,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Dark,DarkBrown,Whitish,Non_Cracked,Pimples,Pitta
Male,DarkBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,LightBrown,Whitish,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Dark,Dusky,Dark,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,Black,Dark,Non_Cracked,Pimples,Kapha
Female,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Reddish,LightBrown,FairReddish,Cracked,Non_Pimples,Pitta
Male,Black,Pink,Black,FairPink,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Pink,Black,FairReddish,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Dark,Dusky,Dark,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Pitta
Male,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Reddish,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Pink,DarkBrown,FairReddish,Non_Cracked,Non_Pimples,Pitta
Female,Black,Dark,DarkBrown,Whitish,Cracked,Pimples,Vata
Male,Black,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Kapha
Male,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,DarkBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Pitta
Male,Black,Pink,Black,FairPink,Non_Cracked,Non_Pimples,Kapha
Male,Black,Dark,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,Black,Pink,Black,FairPink,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,Black,Pink,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Pitta
Male,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,Grayish,PaleYellow,Dusky,Whitish,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Pink,LightBrown,Whitish,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Pink,LightBrown,Dark,Non_Cracked,Pimples,Pitta
Male,DarkBrown,Pink,DarkBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Pitta
Male,DarkBrown,Dark,Black,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Dark,Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,Dusky,Whitish,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,Black,Whitish,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Dark,Dusky,Dark,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,FairPink,Non_Cracked,Pimples,Pitta
Male,Black,Pink,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,Black,FairPink,Non_Cracked,Non_Pimples,Kapha
Female,Black,Dark,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,Black,FairReddish,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Whitish,Non_Cracked,Non_Pimples,Pitta
Male,LightBrown,Pink,Black,Whitish,Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Pink,Dusky,FairPaleYellow,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,LightBrown,FairPaleYellow,Cracked,Pimples,Vata
Male,DarkBrown,Pink,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,PaleYellow,DarkBrown,Whitish,Non_Cracked,Pimples,Pitta
Female,DarkBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,Black,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,Black,Dark,Non_Cracked,Non_Pimples,Vata
Male,LightBrown,Pink,DarkBrown,Whitish,Non_Cracked,Pimples,Pitta
Male,LightBrown,Pink,Black,FairReddish,Non_Cracked,Non_Pimples,Pitta
Female,Black,Pink,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,PaleYellow,LightBrown,FairReddish,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Dark,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Dark,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Dark,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Dark,Dusky,Dark,Cracked,Pimples,Vata
Female,LightBrown,Reddish,DarkBrown,Dark,Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Pink,DarkBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Pitta
Female,LightBrown,PaleYellow,LightBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,LightBrown,FairPink,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,DarkBrown,FairPaleYellow,Non_Cracked,Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,NA,Non_Cracked,Pimples,Vata
Female,DarkBrown,Reddish,Dusky,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,PaleYellow,LightBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Vata
Male,Black,Dark,Black,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Pitta
Female,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,Dusky,Dark,Non_Cracked,Pimples,Vata
Female,Grayish,Pink,DarkBrown,FairReddish,Non_Cracked,Pimples,Pitta
Female,Black,Pink,Black,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,LightBrown,FairPaleYellow,Cracked,Non_Pimples,Vata
Female,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,DarkBrown,Dark,DarkBrown,Whitish,Cracked,Pimples,Pitta
Female,DarkBrown,Reddish,NA,Whitish,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,Black,Pink,DarkBrown,Dark,Non_Cracked,Pimples,Vata
Female,DarkBrown,PaleYellow,LightBrown,Dark,Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,Black,Dark,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,DarkBrown,Reddish,DarkBrown,FairReddish,Non_Cracked,Non_Pimples,Kapha
Female,LightBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Dark,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,Black,Dark,Dusky,Whitish,Non_Cracked,Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Male,DarkBrown,Pink,LightBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Whitish,Cracked,Pimples,Vata
Female,Black,Pink,Black,FairPink,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,LightBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Reddish,LightBrown,Whitish,Non_Cracked,Non_Pimples,Pitta
Female,DarkBrown,Pink,DarkBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,Dusky,Dark,Non_Cracked,Pimples,Vata
Female,DarkBrown,Pink,DarkBrown,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Male,LightBrown,Pink,LightBrown,Whitish,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Pitta
Female,Black,Dark,Black,Whitish,Non_Cracked,Non_Pimples,Kapha
Female,Black,Pink,DarkBrown,Whitish,Cracked,Non_Pimples,Vata
Female,LightBrown,Reddish,LightBrown,Whitish,Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,LightBrown,Dark,Non_Cracked,Pimples,Vata
Female,Black,Pink,Black,FairReddish,Non_Cracked,Non_Pimples,Vata
Female,DarkBrown,Dark,DarkBrown,Dark,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Pink,LightBrown,Whitish,Cracked,Non_Pimples,Vata
Female,Black,Pink,LightBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Vata
Female,LightBrown,Dark,Black,Dark,Cracked,Non_Pimples,Vata
Female,Black,Pink,DarkBrown,FairPaleYellow,Non_Cracked,Non_Pimples,Pitta
